longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-118.93,34.4,17,3275,599.0,2422,637,3.7092,190500,<1H OCEAN
-117.16,32.78,24,3566,765.0,1697,722,3.6375,178600,NEAR OCEAN
-117.19,32.83,30,2288,448.0,1240,469,4.0114,169800,NEAR OCEAN
-121.9,37.45,16,2952,446.0,1525,460,5.6063,320500,<1H OCEAN
-118.38,34.22,32,362,100.0,348,102,2.2679,150000,<1H OCEAN
-118.35,34.17,47,858,170.0,365,171,2.0385,225000,<1H OCEAN
-118.3,33.74,47,2223,410.0,1163,413,4.4671,270800,NEAR OCEAN
-122.09,37.97,5,5303,779.0,2017,727,6.9961,294100,NEAR BAY
-118.01,33.94,36,1921,329.0,969,327,4.9191,188700,<1H OCEAN
-117.71,33.47,17,2681,454.0,830,410,5.5507,345700,<1H OCEAN
-120.47,34.94,17,1368,308.0,642,303,1.8633,109400,<1H OCEAN
-121.11,41.07,26,1707,308.0,761,250,2.7188,48100,INLAND
-118.42,33.92,25,3521,852.0,1524,764,3.8086,361300,<1H OCEAN
-118.36,34.07,52,2046,451.0,944,435,3.4265,456900,<1H OCEAN
-121.64,39.11,18,3212,542.0,1817,508,3.3793,92900,INLAND
-118.35,33.93,34,617,189.0,810,180,1.9766,162500,<1H OCEAN
-117.31,33.19,11,20944,3753.0,8738,3441,4.3762,215500,NEAR OCEAN
-122.29,40.39,17,1682,332.0,887,316,1.8438,76400,INLAND
-117.92,34.06,35,2894,467.0,1420,479,5.184,224900,<1H OCEAN
-122.08,37.63,37,1793,364.0,1534,346,3.6458,156600,NEAR BAY
-121.67,38.54,13,6141,1019.0,2553,967,4.2432,326500,INLAND
-118.33,33.89,42,1816,338.0,897,306,5.1874,230800,<1H OCEAN
-122.42,37.62,36,1017,165.0,407,159,4.8,306800,NEAR OCEAN
-120.45,34.66,7,3329,504.0,1462,452,4.7875,198300,NEAR OCEAN
-118.31,34.02,52,1173,284.0,814,295,2.45,111400,<1H OCEAN
-118.08,34.07,32,4089,975.0,3775,955,3.29,205500,<1H OCEAN
-118.04,33.88,17,4807,838.0,3059,853,5.7619,297300,<1H OCEAN
-122.05,36.96,30,971,185.0,644,173,4.2045,226500,NEAR OCEAN
-118.43,34.3,33,2443,498.0,1601,484,4.0223,146000,<1H OCEAN
-117.14,33.15,16,1129,198.0,758,178,5.0346,174600,<1H OCEAN
-121.86,37.66,22,3634,664.0,1699,640,4.1597,293200,INLAND
-118.35,33.8,32,1434,296.0,672,285,4.875,311700,<1H OCEAN
-118.25,34.02,35,1368,486.0,2239,461,1.913,114300,<1H OCEAN
-121.9,37.39,42,42,14.0,26,14,1.7361,500001,<1H OCEAN
-117.21,33.13,19,3068,596.0,912,554,3.775,168000,NEAR OCEAN
-119.63,36.58,22,1794,435.0,1127,359,1.2647,55300,INLAND
-117.0,34.89,29,2637,512.0,1188,446,2.99,69400,INLAND
-122.54,37.74,42,2006,415.0,1230,435,4.1786,271100,NEAR OCEAN
-118.15,33.78,13,3056,861.0,1600,824,3.3003,207800,NEAR OCEAN
-117.27,33.2,34,1852,322.0,978,332,4.3542,156900,<1H OCEAN
-117.1,32.71,29,3422,713.0,2775,644,1.7075,86900,NEAR OCEAN
-118.16,33.97,39,1444,447.0,1890,416,2.1181,176600,<1H OCEAN
-117.73,34.12,26,6459,894.0,2487,885,6.2089,261800,INLAND
-116.52,32.9,18,4454,852.0,1754,656,4.57,189900,INLAND
-118.41,34.19,37,1993,425.0,939,400,2.8021,224600,<1H OCEAN
-117.57,33.88,39,679,164.0,769,179,2.3036,110600,INLAND
-121.29,37.96,52,888,324.0,630,258,1.2411,112500,INLAND
-121.15,38.89,20,2024,313.0,879,309,5.2903,239400,INLAND
-118.66,34.43,9,2356,469.0,1556,386,3.775,155000,INLAND
-121.41,38.57,16,4429,1124.0,1538,960,3.2443,190700,INLAND
-118.24,33.97,37,1053,263.0,1354,292,2.5833,112500,<1H OCEAN
-118.44,34.06,28,3910,959.0,1763,867,5.5,500001,<1H OCEAN
-117.58,34.02,4,5998,1092.0,3182,1042,5.2692,174800,INLAND
-119.33,36.19,27,418,163.0,332,141,1.0714,63800,INLAND
-118.2,34.21,42,1493,237.0,665,224,6.7571,443900,<1H OCEAN
-121.92,37.32,31,1902,554.0,1485,494,2.4207,165600,<1H OCEAN
