longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,per_room_household,population_in_household,dist_to_LA,dist_to_SF,median_price
-118.93,34.4,17,3275,599.0,2422,637,3.7092,190500,<1H OCEAN,5.141287284144427,3.802197802197802,0.7736924453553993,4.844305935838483,12.065970046316957
-117.16,32.78,24,3566,765.0,1697,722,3.6375,178600,NEAR OCEAN,4.9390581717451525,2.350415512465374,1.6671232707871322,7.24310706810275,12.26610620982163
-117.19,32.83,30,2288,448.0,1240,469,4.0114,169800,NEAR OCEAN,4.878464818763327,2.6439232409381663,1.609627286051026,7.186932586298555,12.160825095743325
-121.9,37.45,16,2952,446.0,1525,460,5.6063,320500,<1H OCEAN,6.417391304347826,3.315217391304348,4.995558026887498,0.6020797289396073,12.437143959483073
-118.38,34.22,32,362,100.0,348,102,2.2679,150000,<1H OCEAN,3.549019607843137,3.411764705882353,0.220227155455454,5.370605180051876,11.908950158579977
-118.35,34.17,47,858,170.0,365,171,2.0385,225000,<1H OCEAN,5.017543859649122,2.134502923976608,0.162788205961,5.426195720760543,12.30375212835952
-118.3,33.74,47,2223,410.0,1163,413,4.4671,270800,NEAR OCEAN,5.3825665859564165,2.8159806295399514,0.3157530680769346,5.756127170242159,12.481585213862118
-122.09,37.97,5,5303,779.0,2017,727,6.9961,294100,NEAR BAY,7.294360385144429,2.7744154057771664,5.4944426468933205,0.3773592452822561,12.736590798984338
-118.01,33.94,36,1921,329.0,969,327,4.9191,188700,<1H OCEAN,5.874617737003058,2.963302752293578,0.2549509756796297,5.833429523016453,12.277416450012304
-117.71,33.47,17,2681,454.0,830,410,5.5507,345700,<1H OCEAN,6.539024390243903,2.024390243902439,0.7856844150166142,6.3702433234532,12.769962591928373
-120.47,34.94,17,1368,308.0,642,303,1.8633,109400,<1H OCEAN,4.514851485148514,2.118811881188119,2.401041440708598,3.4311076928595554,11.898926564613419
-121.11,41.07,26,1707,308.0,761,250,2.7188,48100,INLAND,6.828,3.044,7.584016086480834,3.546829570193636,11.214865148507588
-118.42,33.92,25,3521,852.0,1524,764,3.8086,361300,<1H OCEAN,4.608638743455497,1.9947643979057592,0.222036033111748,5.544600977527596,12.759321241828046
-118.36,34.07,52,2046,451.0,944,435,3.4265,456900,<1H OCEAN,4.703448275862069,2.170114942528736,0.1216552506059693,5.485663132201976,12.810133829463847
-121.64,39.11,18,3212,542.0,1817,508,3.3793,92900,INLAND,6.322834645669292,3.576771653543307,6.0961955349217645,1.5454772725601578,11.529379800765197
-118.35,33.93,34,617,189.0,810,180,1.9766,162500,<1H OCEAN,3.4277777777777776,4.5,0.1627882059609948,5.588309225517146,11.889709002225507
-117.31,33.19,11,20944,3753.0,8738,3441,4.3762,215500,NEAR OCEAN,6.086602731764022,2.5393780877651846,1.26668859630139,6.854662646695313,12.389800133866547
-122.29,40.39,17,1682,332.0,887,316,1.8438,76400,INLAND,5.322784810126582,2.806962025316456,7.523170874039757,2.622746651889958,11.156055608991283
